fname,title
DSCN0017,"Iron Mountain, San Diego - 2012"
DSCN1479,"Alcatraz, San Francisco - 2013"
DSCN1540,"Alcatraz, San Francisco - 2013"
DSCN1542,"Alcatraz, San Francisco - 2013"
DSCN1583,"Golden Gate Bridge, San Francisco - 2013"
DSCN1585,"Golden Gate Bridge, San Francisco - 2013"
DSCN1591,"Golden Gate Bridge, San Francisco - 2013"
DSCN1593-001,"Golden Gate Bridge, San Francisco - 2013"
DSCN1605,"Fisherman's Wharf, San Francisco - 2013"
DSCN2689,"Charles River, Boston - 2012"
DSCN2690,"Charles River, Boston - 2012"
DSCN2786,"Before the Ballet, Boston - 2012"
DSCN3110,"St. Petersburg, Russia - 2013"
DSCN3123,"St. Petersburg, Russia - 2013"
DSCN3132,"Peter and Paul Fortress, St. Petersburg, Russia - 2013"
DSCN3162,"Peter and Paul Fortress, St. Petersburg, Russia - 2013"
DSCN3200,"Peter and Paul Fortress, St. Petersburg, Russia - 2013"
DSCN3220,"Peterhof, St. Petersburg, Russia - 2013"
DSCN3253,"Peterhof, St. Petersburg, Russia - 2013"
DSCN3291,"Peterhof, St. Petersburg, Russia - 2013"
DSCN3303,"Peterhof, St. Petersburg, Russia - 2013"
DSCN3318,"Peterhof, St. Petersburg, Russia - 2013"
DSCN3378,"St. Isaac's Cathedral, St. Petersburg, Russia - 2013"
DSCN3420,"St. Petersburg, Russia - 2013"
DSCN3464,"St. Petersburg, Russia - 2013"
DSCN3473,"Church of the Savior, St. Petersburg, Russia - 2013"
DSCN3493,"Mariinsky Theatre, St. Petersburg, Russia - 2013"
DSCN3510,"St. Petersburg, Russia - 2013"
DSCN3520,"St. Petersburg, Russia - 2013"
DSCN3838,"St. Petersburg, Russia - 2013"
DSCN3859,"Church of the Savior, St. Petersburg, Russia - 2013"
DSCN5979,"Stearns Wharf, Santa Barbara - 2014"
DSCN5980,"Stearns Wharf, Santa Barbara - 2014"
DSCN5990,"Stearns Wharf, Santa Barbara - 2014"
DSCN6017,"Stearns Wharf, Santa Barbara - 2014"
DSCN6081,"Mission, Santa Barbara - 2014"
DSCN6088,"Mission, Santa Barbara - 2014"
DSCN6089,"Mission, Santa Barbara - 2014"
DSCN6151,"Hearst Castle, San Simeon - 2015"
DSCN6198,"Hearst Castle, San Simeon - 2015"
DSCN6231,"Hearst Castle, San Simeon - 2015"
DSCN6267,"Bluffs, Los Osos - 2015"
DSCN6269,"Bluffs, Los Osos - 2015"
DSCN6744,"Farmer's Market, Portland(OR) - 2015"
DSCN6834,"Japanese Garden, Portland(OR) - 2015"
DSCN6849,"Downtown, Portland(OR) - 2015"
DSCN6853,"Downtown, Portland(OR) - 2015"
DSCN6869,"Pike's Market, Seattle - 2014"
DSCN6889,"Bar, Seattle - 2014"
DSCN6914,"Space Needle, Seattle - 2014"
DSCN6915,"Space Needle, Seattle - 2014"
DSCN6920,"Duck Boat Tour, Seattle - 2014"
DSCN6921,"Duck Boat Tour, Seattle - 2014"
DSCN7312,"San Diego Bay, San Diego - 2014"
DSCN7314,"San Diego Bay, San Diego - 2014"
DSCN7333,"Cabrillo National Park, San Diego - 2014"
DSCN7357,"Cabrillo National Park, San Diego - 2014"
DSCN7359,"Cabrillo National Park, San Diego - 2014"
DSCN7725,"Monterey Bay Aquarium, Monterey - 2014"
DSCN7737,"Monterey Bay Aquarium, Monterey - 2014"
DSCN7741,"Monterey Bay Aquarium, Monterey - 2014"
DSCN7857,"Butano State Park, Butano - 2014"
DSCN7864,"Butano State Park, Butano - 2014"
DSCN7907,"Riverfront, Napa - 2014"
DSCN7910,"Riverfront, Napa - 2014"
DSCN7931,"Russian River Brewery, Santa Rosa - 2014"
DSCN7942,"J Vineyards, Healdsburg - 2014"
DSCN7946,"J Vineyards, Healdsburg - 2014"
DSCN7953,"J Vineyards, Healdsburg - 2014"
DSCN8367,"Bachelorette Party, Boston - 2014"
DSCN8386,"Fenway Park, Boston - 2014"
DSCN8404,"Woodman's, Essex - 2014"
DSCN8436,"Mackorth Island, Portland(ME) - 2014"
DSCN8486,"Allagash Brewing, Portland(ME) - 2014"
DSCN8551,"Lighthouse Tour, Portland(ME) - 2014"
Haloween_Popeye,"Halloween, San Diego - 2014"
IMG_0962,"Lobsert Dinner, San Diego - 2014"
IMG_0965,"Lobsert Dinner, San Diego - 2014"
IMG_1553,"Stone Brewery, Escondido - 2013"
IMG_1559,"Stone Brewery, Escondido - 2013"
IMG_4404,"RB Winery, Rancho Bernardo - 2015"
IMG_4557,"RB Winery, Rancho Bernardo - 2015"
IMG_5310,"Desert Camping, Glamis - 2013"
IMG_5603,"Model Rocket Launch, Glamis - 2013"
IMG_5608,"Model Rocket Launch, Glamis - 2013"
IMG_5647,"Desert Camping, Glamis - 2013"
IMG_5994,"Sky Lantern Launching, Glamis - 2013"
JG_Diving,"John SCUBA Diving, La Jolla - 2012"
Jullian_Apple_Picking,"Apple Picking, Wynola - 2012"
Roaring_20s_Photo,"Roaring 20's Evening, San Diego - 2015"
